Wall time,Step,Value
,28451,0.3161
,28501,0.3161
,28551,0.3169
,28601,0.3174
,28651,0.3177
,28701,0.3184
,28751,0.3193
,28801,0.3189
,28851,0.3185
,28901,0.3182
,28951,0.318
,29001,0.3176
,29051,0.3169
,29101,0.3167
,29151,0.3164
,29201,0.3159
,29251,0.3153
,29301,0.3151
,29351,0.3144
,29401,0.3138
,29451,0.3142
,29461,0.1976
,29511,0.2213
,29561,0.2503
,29611,0.282
,29661,0.2974
,29711,0.2949
,29761,0.3116
,29811,0.3065
,29861,0.3128
,29911,0.3081
,29961,0.3089
,30011,0.312
,30061,0.3116
,30111,0.3091
,30161,0.3072
,30211,0.3046
,30261,0.3056
,30311,0.3045
,30361,0.3028
,30411,0.3009
,30461,0.3024
,30511,0.2997
,30561,0.2989
,30611,0.299
,30661,0.2974
,30711,0.2972
,30761,0.2978
,30811,0.3
,30861,0.2996
,30911,0.2993
,30961,0.2982
,31011,0.2976
,31061,0.2975
,31111,0.297
,31161,0.2951
,31211,0.295
,31261,0.2951
,31311,0.2944
,31361,0.2938
,31411,0.2942
,31461,0.295
,31511,0.2946
,31561,0.2955
,31611,0.2944
,31661,0.2949
,31711,0.2955
,31761,0.2943
,31811,0.2935
,31861,0.293
,31911,0.2944
,31961,0.2937
,32011,0.2934
,32061,0.2944
,32111,0.2945
,32161,0.294
,32211,0.2957
,32261,0.2959
,32311,0.2977
,32361,0.2972
,32411,0.2965
,32461,0.2969
,32511,0.2964
,32561,0.2962
,32611,0.296
,32661,0.2952
,32711,0.2942
,32761,0.2948
,32811,0.2941
,32861,0.294
,32911,0.293
,32961,0.2919
,33011,0.2914
,33061,0.2907
,33111,0.29
,33161,0.2891
,33211,0.2888
,33261,0.2883
,33311,0.2888
,33361,0.2892
,33411,0.2887
,33461,0.2886
,33511,0.2885
,33561,0.2879
,33611,0.2876
,33661,0.2873
,33711,0.2869
,33761,0.2861
,33811,0.2856
,33861,0.2852
,33911,0.2845
,33961,0.284
,34011,0.2848
,34061,0.2849
,34111,0.2843
,34161,0.2838
,34211,0.2837
,34261,0.2839
,34311,0.2848
,34361,0.2848
,34371,0.1328
,34421,0.2379
,34471,0.2608
,34521,0.2682
,34571,0.2713
,34621,0.2812
,34671,0.2806
,34721,0.2824
,34771,0.2802
,34821,0.2769
,34871,0.2767
,34921,0.2714
,34971,0.2725
,35021,0.2732
,35071,0.2721
,35121,0.2709
,35171,0.2718
,35221,0.273
,35271,0.2767
,35321,0.2767
,35371,0.2749
,35421,0.2718
,35471,0.2722
,35521,0.2711
,35571,0.2708
,35621,0.2705
,35671,0.2686
,35721,0.2699
,35771,0.2702
,35821,0.2678
,35871,0.2699
,35921,0.2699
,35971,0.2684
,36021,0.2675
,36071,0.2669
,36121,0.2669
,36171,0.2693
,36221,0.2704
,36271,0.2704
,36321,0.2695
,36371,0.2684
,36421,0.2697
,36471,0.269
,36521,0.2694
,36571,0.2696
