Wall time,Step,Value
,34980,0.3422
,35030,0.3442
,35080,0.3455
,35130,0.3416
,35180,0.3438
,35230,0.3445
,35280,0.345
,35330,0.3472
,35380,0.3461
,35430,0.3453
,35480,0.3444
,35530,0.3415
,35580,0.3404
,35630,0.3405
,35680,0.339
,35730,0.3394
,35780,0.3388
,35830,0.3388
,35880,0.3381
,35930,0.3398
,35980,0.3399
,36030,0.3392
,36080,0.3384
,36130,0.3388
,36180,0.3393
,36230,0.3372
,36280,0.3367
,36330,0.3372
,36380,0.3388
,36430,0.3392
,36480,0.3402
,36530,0.3402
,36580,0.3402
,36630,0.3392
,36680,0.3386
,36730,0.3376
,36780,0.3375
,36830,0.3376
,36880,0.3376
,36930,0.3384
,36980,0.338
,37030,0.3384
,37080,0.3392
,37130,0.3389
,37180,0.3387
,37230,0.3378
,37280,0.3369
,37330,0.3372
,37380,0.3366
,37430,0.3353
,37480,0.3351
,37530,0.3367
,37580,0.3369
,37630,0.3356
,37680,0.335
,37730,0.3346
,37780,0.3337
,37830,0.3334
,37880,0.3339
,37930,0.3334
,37980,0.3327
,38030,0.3325
,38080,0.3323
,38130,0.3319
,38180,0.3314
,38230,0.3311
,38280,0.3321
,38330,0.3329
,38380,0.3328
,38430,0.3318
,38480,0.3315
,38530,0.3319
,38580,0.3315
,38630,0.3326
,38680,0.3338
,38730,0.3335
,38780,0.3333
,38830,0.3331
,38880,0.3329
,38930,0.3327
,38980,0.3328
,39030,0.3319
,39080,0.3318
,39130,0.3316
,39177,0.1455
,39227,0.2949
,39277,0.2924
,39327,0.2917
,39377,0.3017
,39427,0.2991
,39477,0.3031
,39527,0.2978
,39577,0.3007
,39627,0.3044
,39677,0.3097
,39727,0.3079
,39777,0.3057
,39827,0.3089
,39877,0.3053
,39927,0.3036
,39977,0.3059
,40027,0.3113
,40077,0.3117
,40127,0.3124
,40177,0.3106
,40227,0.3097
,40277,0.3084
,40327,0.3087
,40377,0.3106
,40427,0.3115
,40477,0.3127
,40527,0.3119
,40577,0.3117
,40627,0.3103
,40677,0.3094
,40727,0.3079
,40777,0.3086
,40827,0.3085
,40877,0.3077
,40927,0.3078
,40977,0.3078
,41027,0.3097
,41077,0.312
,41127,0.3127
,41177,0.3146
,41227,0.3171
,41277,0.3179
,41327,0.3186
,41377,0.3178
,41427,0.3182
,41477,0.3186
,41527,0.3214
,41577,0.3206
,41627,0.3207
,41677,0.3217
,41727,0.3223
,41777,0.3229
,41827,0.3233
,41877,0.3234
,41927,0.3247
,41977,0.3243
,42027,0.3242
,42077,0.3231
,42127,0.323
,42177,0.323
,42227,0.3234
,42277,0.323
,42327,0.323
,42377,0.3223
,42427,0.3221
,42477,0.3211
,42527,0.3204
,42577,0.3202
,42627,0.3214
,42677,0.3212
,42727,0.3228
,42777,0.3226
,42827,0.3221
,42877,0.3217
,42927,0.322
,42977,0.3222
,43027,0.3222
,43077,0.3218
,43127,0.3216
,43177,0.3231
,43227,0.3255
,43277,0.3259
,43327,0.3256
,43377,0.3258
,43427,0.3257
,43477,0.3253
,43527,0.3249
,43577,0.3244
,43627,0.3244
,43677,0.324
,43727,0.3236
,43777,0.3233
,43827,0.3234
,43877,0.3245
,43927,0.3242
,43977,0.3238
,44027,0.3234
,44074,0.1482
,44124,0.2557
,44174,0.2752
,44224,0.2861
,44274,0.3045
,44324,0.3146
,44374,0.3126
,44424,0.3062
,44474,0.3068
,44524,0.3078
,44574,0.3147
,44624,0.3118
,44674,0.3104
,44724,0.3068
,44774,0.3068
,44824,0.3046
,44874,0.3039
,44924,0.3056
,44974,0.3054
,45024,0.3053
,45074,0.3073
,45124,0.306
,45174,0.3082
,45224,0.3092
,45274,0.3082
,45324,0.3067
,45374,0.3055
,45424,0.3118
,45474,0.3102
,45524,0.3086
,45574,0.3085
,45624,0.3079
,45674,0.3065
,45724,0.3095
,45774,0.31
,45824,0.3106
,45874,0.3119
,45924,0.3123
,45974,0.3148
,46024,0.3155
,46074,0.3161
,46124,0.3151
,46174,0.3153
,46224,0.3158
,46274,0.3186
,46324,0.3199
,46374,0.3192
,46424,0.3187
,46474,0.3198
,46524,0.3193
,46574,0.32
,46624,0.321
,46674,0.322
,46724,0.3209
,46774,0.3215
,46824,0.3213
,46874,0.3213
,46924,0.3206
,46974,0.3207
,47024,0.3201
,47074,0.3218
,47124,0.3216
,47174,0.3218
,47224,0.3214
,47274,0.3212
,47324,0.3217
,47374,0.3213
,47424,0.3215
,47474,0.3212
,47524,0.3212
,47574,0.3207
,47624,0.3198
,47674,0.3188
,47724,0.3187
,47774,0.3182
,47824,0.318
,47874,0.3183
,47924,0.3183
,47974,0.3179
,48024,0.3182
,48074,0.3178
,48124,0.3188
,48174,0.3183
,48224,0.3181
,48274,0.3178
,48324,0.3176
,48374,0.3168
,48424,0.3168
,48474,0.3166
,48524,0.3161
,48574,0.3155
,48624,0.3153
,48674,0.315
,48724,0.3151
,48774,0.3148
,48824,0.3145
,48874,0.3141
,48924,0.3138
,48971,0.2124
,49021,0.3114
,49071,0.2853
,49121,0.2966
,49171,0.3042
,49221,0.298
,49271,0.2943
,49321,0.2952
,49371,0.2962
,49421,0.2986
,49471,0.2983
,49521,0.2967
,49571,0.2954
,49621,0.2965
,49671,0.2928
,49721,0.2911
,49771,0.2896
,49821,0.2907
,49871,0.291
,49921,0.2927
,49971,0.2971
,50021,0.2977
,50071,0.2979
,50121,0.2969
,50171,0.297
,50221,0.2983
,50271,0.2989
,50321,0.2978
,50371,0.2985
,50421,0.2985
,50471,0.2998
,50521,0.3001
,50571,0.3011
,50621,0.3002
,50671,0.2993
,50721,0.2995
,50771,0.2998
,50821,0.2984
,50871,0.3002
,50921,0.3003
,50971,0.2993
,51021,0.2978
,51071,0.2981
,51121,0.2983
,51171,0.2993
,51221,0.2992
,51271,0.3004
,51321,0.3009
,51371,0.3018
,51421,0.3012
,51471,0.3011
,51521,0.3008
,51571,0.3023
,51621,0.3021
,51671,0.3015
,51721,0.3019
,51771,0.3041
,51821,0.305
,51871,0.3043
,51921,0.3039
,51971,0.3037
,52021,0.3043
,52071,0.3047
,52121,0.305
,52171,0.3055
,52221,0.3052
,52271,0.3044
,52321,0.305
,52371,0.3055
,52421,0.3061
,52471,0.3061
,52521,0.3069
,52571,0.3071
,52621,0.3071
,52671,0.3073
,52721,0.3092
,52771,0.3092
,52821,0.3086
,52871,0.3087
,52921,0.3083
,52971,0.3078
,53021,0.3074
,53071,0.307
,53121,0.3071
,53171,0.3066
,53221,0.306
,53271,0.3053
,53321,0.3058
,53371,0.3065
,53421,0.3063
,53471,0.3068
,53521,0.3064
,53571,0.3061
,53621,0.306
,53671,0.3063
,53721,0.3066
,53771,0.3061
,53821,0.306
,53868,0.1015
,53918,0.2413
,53968,0.2629
,54018,0.2733
,54068,0.27
,54118,0.2844
,54168,0.2826
,54218,0.2828
,54268,0.2817
,54318,0.2864
,54368,0.2856
,54418,0.2859
,54468,0.2885
,54518,0.2894
,54568,0.2951
,54618,0.2973
,54668,0.2975
