Step,Value
34161,0.3791
34211,0.3792
34261,0.3795
34311,0.3788
34361,0.3789
34371,0.2397
34421,0.3307
34471,0.3633
34521,0.3684
34571,0.3473
34621,0.3539
34671,0.3527
34721,0.3572
34771,0.3549
34821,0.3594
34871,0.3555
34921,0.3548
34971,0.3613
35021,0.358
35071,0.3555
35121,0.353
35171,0.3502
35221,0.3566
35271,0.3558
35321,0.3612
35371,0.3619
35421,0.3642
35471,0.3655
35521,0.3649
35571,0.3687
35621,0.371
35671,0.3718
35721,0.371
35771,0.3703
35821,0.3701
35871,0.3723
35921,0.3713
35971,0.3723
36021,0.3716
36071,0.3748
36121,0.3765
36171,0.3756
36221,0.3752
36271,0.3752
36321,0.3762
36371,0.3761
36421,0.3741
36471,0.3748
36521,0.3741
36571,0.3738
36621,0.3725
36671,0.3718
36721,0.3734
36771,0.3726
36821,0.3743
36871,0.3735
36921,0.3738
36971,0.3733
37021,0.3733
37071,0.3734
37121,0.3723
37171,0.3722
37221,0.3729
37271,0.3724
37321,0.372
37371,0.3719
37421,0.3717
37471,0.3714
37521,0.3699
37571,0.3697
37621,0.3692
37671,0.3699
37721,0.3701
37771,0.3702
37821,0.3713
37871,0.3717
37921,0.3723
37971,0.3714
38021,0.3707
38071,0.3703
38121,0.3711
38171,0.371
38221,0.3701
38271,0.37
38321,0.3704
38371,0.3705
38421,0.371
38471,0.3717
38521,0.3718
38571,0.3711
38621,0.3728
38671,0.3728
38721,0.3723
38771,0.3718
38821,0.3715
38871,0.3708
38921,0.3702
38971,0.3695
39021,0.37
39071,0.3701
39121,0.3707
39171,0.3702
39221,0.3708
39271,0.3709
39281,0.1662
39331,0.4157
39381,0.3795
39431,0.3736
39481,0.3816
39531,0.3792
39581,0.3684
39631,0.3675
39681,0.3764
39731,0.3826
39781,0.3806
39831,0.3773
39881,0.3727
39931,0.3724
39981,0.3773
40031,0.3776
40081,0.3773
40131,0.377
40181,0.3757
40231,0.3739
40281,0.3741
40331,0.3695
40381,0.3689
40431,0.3669
40481,0.3656
40531,0.3646
40581,0.3622
40631,0.363
40681,0.3617
40731,0.3623
40781,0.3632
40831,0.3663
40881,0.3688
40931,0.3692
40981,0.3699
41031,0.3715
41081,0.3717
41131,0.3728
41181,0.3717
41231,0.3709
41281,0.3714
41331,0.3701
41381,0.3683
41431,0.3686
41481,0.3696
41531,0.3686
41581,0.3685
41631,0.3691
41681,0.3678
41731,0.3671
41781,0.3669
41831,0.366
41881,0.3662
41931,0.367
41981,0.3685
42031,0.3701
42081,0.3701
42131,0.3698
42181,0.3703
42231,0.3697
42281,0.3691
42331,0.3685
42381,0.3676
42431,0.3678
42481,0.3698
42531,0.3691
42581,0.369
42631,0.3684
42681,0.3684
42731,0.3681
42781,0.368
42831,0.3678
42881,0.3677
42931,0.3669
42981,0.3663
43031,0.3659
43081,0.3656
43131,0.3662
43181,0.366
43231,0.3665
43281,0.3673
43331,0.3678
43381,0.3679
43431,0.3671
43481,0.3667
43531,0.3664
43581,0.3668
43631,0.3662
43681,0.3653
43731,0.3654
43781,0.3658
43831,0.3651
43881,0.3647
43931,0.3645
43981,0.3651
44031,0.3652
44081,0.3656
44131,0.365
44181,0.3644
44191,0.6351
44241,0.4105
44291,0.3942
44341,0.4009
44391,0.383
44441,0.3802
44491,0.3787
44541,0.3694
44591,0.3664
44641,0.3604
44691,0.362
44741,0.3644
44791,0.3662
44841,0.3599
44891,0.3585
44941,0.3611
44991,0.3627
45041,0.3649
45091,0.3696
45141,0.3671
45191,0.371
45241,0.3734
45291,0.3723
45341,0.3732
45391,0.3721
