Step,Value
1533507,0.1233
1533557,0.1232
1533607,0.1226
1533657,0.1224
1533707,0.122
1533757,0.1217
1533807,0.1212
1533857,0.1209
1533907,0.1204
1533957,0.1206
1534007,0.1211
1534057,0.1216
1534107,0.1219
1534157,0.1222
1534207,0.1222
1534257,0.1219
1534307,0.1216
1534357,0.1211
1534407,0.1216
1534457,0.1218
1534507,0.1216
1534557,0.1216
1534607,0.1216
1534657,0.1216
1534707,0.1215
1534757,0.1211
1534807,0.121
1534857,0.1209
1534907,0.1209
1534957,0.1209
1535007,0.1206
1535057,0.1205
1535107,0.1201
1535157,0.1201
1535207,0.12
1535257,0.12
1535307,0.1199
1535357,0.1198
1535407,0.1199
1535457,0.1201
1535507,0.1197
1535557,0.1196
1535607,0.1195
1535657,0.1195
1535707,0.1195
1535757,0.1193
1535807,0.1193
1535857,0.1194
1535907,0.1194
1535957,0.1195
1536007,0.1195
1536057,0.1193
1536107,0.1192
1536157,0.1191
1536207,0.119
1536257,0.1188
1536307,0.1189
1536357,0.1188
1536407,0.1186
1536457,0.1193
1536507,0.1192
1536557,0.1193
1536607,0.1192
1536657,0.1194
1536707,0.1191
1536757,0.119
1536807,0.1191
1536857,0.1189
1536896,0.0611
1536946,0.1356
1536996,0.1292
1537046,0.1378
1537096,0.1398
1537146,0.1366
1537196,0.1341
1537246,0.1305
1537296,0.1294
1537346,0.1258
1537396,0.1228
1537446,0.1231
1537496,0.1205
1537546,0.121
1537596,0.1206
1537646,0.1216
1537696,0.1211
1537746,0.121
1537796,0.123
1537846,0.1225
1537896,0.1225
1537946,0.1223
1537996,0.1223
1538046,0.1213
1538096,0.1219
1538146,0.1217
1538196,0.1212
1538246,0.121
1538296,0.1207
1538346,0.1205
1538396,0.1201
1538446,0.1198
1538496,0.1196
1538546,0.1191
1538596,0.1193
1538646,0.1193
1538696,0.1187
1538746,0.1192
1538796,0.1195
1538846,0.1193
1538896,0.1194
1538946,0.1191
1538996,0.1191
1539046,0.1189
1539096,0.1197
1539146,0.1199
1539196,0.1201
1539246,0.1199
1539296,0.1195
1539346,0.1197
1539396,0.12
1539446,0.1199
1539496,0.1198
1539546,0.1205
1539596,0.1208
1539646,0.1209
1539696,0.1207
1539746,0.1205
1539796,0.1203
1539846,0.1205
1539896,0.1203
1539946,0.1202
1539996,0.12
1540046,0.12
1540096,0.1198
1540146,0.1194
1540196,0.1194
1540246,0.1194
1540296,0.1194
1540346,0.1194
1540396,0.1194
1540446,0.1192
1540496,0.1192
1540546,0.1196
1540596,0.1197
1540646,0.12
1540696,0.1198
1540746,0.1195
1540796,0.1194
1540846,0.1191
1540896,0.119
1540946,0.1191
1540996,0.1188
1541046,0.1187
1541096,0.1185
1541146,0.1187
1541196,0.1186
1541246,0.1185
1541296,0.1184
1541346,0.1183
1541396,0.1183
1541446,0.118
1541496,0.118
1541546,0.1181
1541596,0.118
1541646,0.118
1541696,0.1187
1541746,0.1188
1541796,0.1186
1541846,0.1187
1541896,0.1187
1541935,0.1995
1541985,0.1131
1542035,0.1392
1542085,0.1322
1542135,0.1241
1542185,0.1247
1542235,0.1218
1542285,0.1224
1542335,0.1226
1542385,0.1196
1542435,0.1189
1542485,0.1183
1542535,0.1176
1542585,0.116
1542635,0.1186
1542685,0.1211
1542735,0.1206
1542785,0.1201
1542835,0.1204
1542885,0.1201
1542935,0.1204
1542985,0.1205
1543035,0.1201
1543085,0.1196
1543135,0.12
1543185,0.1205
1543235,0.1207
1543285,0.1204
1543335,0.1204
1543385,0.121
1543435,0.1218
1543485,0.1216
1543535,0.1223
1543585,0.1217
1543635,0.1219
1543685,0.1216
1543735,0.1214
1543785,0.1214
1543835,0.1211
1543885,0.1211
1543935,0.1211
1543985,0.1211
1544035,0.121
1544085,0.1207
1544135,0.1205
1544185,0.1207
1544235,0.1206
1544285,0.1219
1544335,0.1217
1544385,0.1221
1544435,0.1222
1544485,0.1228
1544535,0.1232
1544585,0.123
1544635,0.1228
1544685,0.1226
1544735,0.1225
1544785,0.1225
1544835,0.1223
1544885,0.1221
1544935,0.1221
1544985,0.1222
1545035,0.1218
1545085,0.1218
1545135,0.1216
1545185,0.1216
1545235,0.1214
1545285,0.1213
1545335,0.1212
1545385,0.1211
1545435,0.1209
1545485,0.1209
1545535,0.1205
1545585,0.1204
1545635,0.1202
1545685,0.1199
1545735,0.1198
1545785,0.1198
1545835,0.1195
1545885,0.1194
1545935,0.1195
1545985,0.1196
1546035,0.1194
1546085,0.1194
1546135,0.1193
1546185,0.1194
1546235,0.1194
1546285,0.1193
1546335,0.1195
1546385,0.1195
1546435,0.1192
1546485,0.1191
1546535,0.1189
1546585,0.119
1546635,0.1191
1546685,0.1191
1546735,0.1192
1546785,0.1191
1546835,0.119
1546885,0.1189
1546935,0.1187
1546974,0.2514
1547024,0.1204
1547074,0.1302
1547124,0.1255
1547174,0.1202
1547224,0.1174
1547274,0.1167
1547324,0.1158
1547374,0.1158
1547424,0.1146
1547474,0.1138
1547524,0.112
1547574,0.1126
1547624,0.1135
1547674,0.1135
1547724,0.1141
1547774,0.1145
1547824,0.1138
1547874,0.1137
1547924,0.1142
1547974,0.1158
1548024,0.1161
1548074,0.1166
1548124,0.1169
1548174,0.1164
1548224,0.1161
1548274,0.116
1548324,0.1152
1548374,0.1153
1548424,0.1149
1548474,0.1149
1548524,0.1149
1548574,0.1149
1548624,0.1149
1548674,0.1148
1548724,0.1144
1548774,0.1142
1548824,0.1144
1548874,0.1148
1548924,0.1146
1548974,0.115
1549024,0.1149
1549074,0.1147
1549124,0.1147
1549174,0.1147
1549224,0.1145
1549274,0.1144
1549324,0.1142
1549374,0.114
1549424,0.1142
1549474,0.1147
1549524,0.1144
1549574,0.1147
1549624,0.1145
1549674,0.1145
1549724,0.1147
1549774,0.1144
1549824,0.1144
1549874,0.1148
1549924,0.1151
1549974,0.115
1550024,0.1145
1550074,0.1151
1550124,0.1155
1550174,0.1153
1550224,0.1156
1550274,0.1157
1550324,0.1154
1550374,0.1151
1550424,0.1154
1550474,0.1157
1550524,0.1157
1550574,0.1166
1550624,0.1166
1550674,0.1166
1550724,0.1166
1550774,0.1166
1550824,0.1165
1550874,0.1165
1550924,0.1165
1550974,0.1165
1551024,0.1164
1551074,0.1167
1551124,0.1167
1551174,0.1164
1551224,0.1168
1551274,0.1167
1551324,0.117
1551374,0.1171
1551424,0.117
1551474,0.117
1551524,0.1173
1551574,0.1174
1551624,0.1178
1551674,0.1178
1551724,0.1177
1551774,0.1177
1551824,0.1178
1551874,0.118
1551924,0.1181
1551974,0.1182
1552013,0.0539
1552063,0.105
1552113,0.1249
1552163,0.1191
1552213,0.1253
1552263,0.1196
1552313,0.1215
1552363,0.1186
1552413,0.1178
1552463,0.1182
1552513,0.1173
1552563,0.1171
1552613,0.1192
1552663,0.1184
1552713,0.1188
1552763,0.1186
1552813,0.1191
1552863,0.1204
1552913,0.1226
1552963,0.1211
1553013,0.1211
1553063,0.1204
1553113,0.1201
1553163,0.1193
1553213,0.1189
1553263,0.1192
1553313,0.1196
1553363,0.121
1553413,0.1211
1553463,0.1209
1553513,0.1208
1553563,0.1203
1553613,0.1201
1553663,0.1198
1553713,0.1202
1553763,0.1204
1553813,0.1205
1553863,0.1204
1553913,0.12
1553963,0.1194
1554013,0.1192
1554063,0.1208
1554113,0.121
1554163,0.121
1554213,0.1217
1554263,0.1218
1554313,0.1216
1554363,0.122
1554413,0.1215
1554463,0.1213
1554513,0.1212
1554563,0.1211
1554613,0.121
1554663,0.1211
1554713,0.1209
1554763,0.1205
1554813,0.1202
1554863,0.1199
1554913,0.1196
1554963,0.1195
1555013,0.1197
1555063,0.1201
1555113,0.1198
1555163,0.1197
1555213,0.1194
1555263,0.1197
1555313,0.1196
1555363,0.1195
1555413,0.1193
1555463,0.119
1555513,0.1186
1555563,0.1184
1555613,0.1186
1555663,0.1187
1555713,0.1186
1555763,0.1183
1555813,0.1181
1555863,0.1184
1555913,0.118
1555963,0.1181
1556013,0.1182
1556063,0.1181
1556113,0.1181
1556163,0.1182
1556213,0.1188
1556263,0.1186
1556313,0.1184
1556363,0.1184
1556413,0.1191
1556463,0.1192
1556513,0.1193
1556563,0.1192
1556613,0.119
1556663,0.1189
1556713,0.1187
1556763,0.1188
1556813,0.1189
1556863,0.1189
1556913,0.1189
1556963,0.1187
1557013,0.1187
1557052,0.1405
1557102,0.1069
1557152,0.1148
1557202,0.1261
1557252,0.1297
1557302,0.1304
1557352,0.1285
1557402,0.1273
1557452,0.1241
1557502,0.124
1557552,0.122
1557602,0.1222
1557652,0.1232
1557702,0.1231
1557752,0.1227
1557802,0.1227
1557852,0.1236
1557902,0.1237
1557952,0.1229
1558002,0.1233
1558052,0.1245
1558102,0.1234
1558152,0.1236
1558202,0.1226
1558252,0.122
1558302,0.1219
1558352,0.1221
1558402,0.1221
1558452,0.1225
1558502,0.1226
1558552,0.1225
1558602,0.1234
1558652,0.1225
1558702,0.122
1558752,0.1221
1558802,0.1217
1558852,0.1215
1558902,0.1216
1558952,0.1211
1559002,0.1208
1559052,0.1208
1559102,0.1206
1559152,0.1199
1559202,0.1201
1559252,0.1199
1559302,0.1198
1559352,0.1196
1559402,0.1188
1559452,0.1187
1559502,0.1186
1559552,0.1202
1559602,0.1204
1559652,0.1199
1559702,0.1198
1559752,0.1197
1559802,0.1199
1559852,0.1196
1559902,0.1196
1559952,0.1195
1560002,0.1194
1560052,0.1196
1560102,0.1194
1560152,0.1196
1560202,0.1192
1560252,0.119
1560302,0.1192
1560352,0.119
1560402,0.1192
1560452,0.1191
1560502,0.1194
1560552,0.1193
1560602,0.1191
1560652,0.1191
1560702,0.1195
1560752,0.1197
1560802,0.1198
1560852,0.1196
1560902,0.1198
1560952,0.1196
1561002,0.1194
1561052,0.1195
1561102,0.1197
1561152,0.1195
1561202,0.1195
1561252,0.1193
1561302,0.1194
1561352,0.1193
1561402,0.1195
1561452,0.1192
1561502,0.1191
1561552,0.1189
1561602,0.119
1561652,0.1189
1561702,0.1189
1561752,0.1191
1561802,0.1189
1561852,0.1189
1561902,0.1192
1561952,0.1191
1562002,0.1189
1562052,0.1189
1562091,0.0859
1562141,0.0946
1562191,0.0999
1562241,0.111
1562291,0.1121
1562341,0.1127
1562391,0.1126
1562441,0.1138
1562491,0.1174
1562541,0.1213
1562591,0.1197
1562641,0.1221
1562691,0.1214
1562741,0.1226
1562791,0.1215
1562841,0.1207
1562891,0.1206
1562941,0.1193
1562991,0.118
1563041,0.1179
1563091,0.1199
1563141,0.12
1563191,0.1198
1563241,0.1191
1563291,0.1186
1563341,0.1173
1563391,0.1176
1563441,0.1177
1563491,0.1177
1563541,0.1172
1563591,0.1171
1563641,0.1184
1563691,0.1184
1563741,0.1183
1563791,0.1184
1563841,0.1179
1563891,0.1172
1563941,0.1177
1563991,0.118
1564041,0.1174
1564091,0.1177
1564141,0.1179
1564191,0.1176
1564241,0.1177
1564291,0.1188
1564341,0.1183
1564391,0.1179
1564441,0.1179
1564491,0.1175
1564541,0.1172
1564591,0.117
1564641,0.117
1564691,0.117
1564741,0.1173
1564791,0.1175
1564841,0.1177
1564891,0.1173
1564941,0.1176
1564991,0.1181
1565041,0.1187
1565091,0.1185
1565141,0.1187
1565191,0.119
1565241,0.1193
1565291,0.1194
1565341,0.1192
1565391,0.1191
1565441,0.1192
1565491,0.1196
1565541,0.1191
1565591,0.1197
1565641,0.1197
1565691,0.1196
1565741,0.1198
1565791,0.1197
1565841,0.1198
1565891,0.12
1565941,0.1198
1565991,0.1198
1566041,0.1198
1566091,0.1197
1566141,0.1196
1566191,0.1197
1566241,0.1198
1566291,0.1195
1566341,0.1201
1566391,0.1202
1566441,0.1201
1566491,0.1199
1566541,0.1197
1566591,0.1196
1566641,0.1197
1566691,0.1196
1566741,0.1196
1566791,0.1196
1566841,0.1194
1566891,0.1197
1566941,0.1195
1566991,0.1193
1567041,0.119
1567091,0.1191
1567130,0.1414
1567180,0.1229
1567230,0.1205
1567280,0.1268
1567330,0.1265
1567380,0.1251
1567430,0.1269
1567480,0.1274
1567530,0.1282
1567580,0.1286
1567630,0.1276
1567680,0.1284
1567730,0.1264
1567780,0.1266
1567830,0.1294
1567880,0.1285
1567930,0.128
1567980,0.1272
1568030,0.1268
1568080,0.1264
1568130,0.1256
1568180,0.1264
1568230,0.1256
1568280,0.1246
1568330,0.1246
1568380,0.1245
1568430,0.1257
1568480,0.1263
1568530,0.1257
1568580,0.1255
1568630,0.1249
1568680,0.1245
1568730,0.1242
1568780,0.1237
1568830,0.1252
1568880,0.1245
1568930,0.1243
1568980,0.1242
1569030,0.1242
1569080,0.1241
1569130,0.1241
1569180,0.1241
1569230,0.1235
1569280,0.1235
1569330,0.1231
1569380,0.1227
1569430,0.1225
1569480,0.1223
1569530,0.1225
1569580,0.122
1569630,0.1222
1569680,0.1224
1569730,0.1221
1569780,0.1221
1569830,0.1218
1569880,0.1216
1569930,0.1214
1569980,0.1211
1570030,0.1211
1570080,0.1212
1570130,0.1212
1570180,0.1214
1570230,0.1213
1570280,0.1209
1570330,0.1208
1570380,0.1205
1570430,0.1205
1570480,0.1203
1570530,0.1204
1570580,0.1203
1570630,0.1205
1570680,0.1208
1570730,0.1208
1570780,0.1208
1570830,0.1208
1570880,0.1206
1570930,0.1205
1570980,0.1205
1571030,0.1204
1571080,0.1202
1571130,0.1201
1571180,0.12
1571230,0.1202
1571280,0.1201
1571330,0.1201
1571380,0.1202
1571430,0.1202
1571480,0.1199
1571530,0.1199
1571580,0.1197
1571630,0.1196
1571680,0.1195
1571730,0.1195
1571780,0.1193
1571830,0.1193
1571880,0.1193
1571930,0.1194
1571980,0.1196
1572030,0.1196
1572080,0.1195
1572130,0.1195
1572169,0.1295
1572219,0.131
1572269,0.1179
1572319,0.119
1572369,0.1192
1572419,0.1171
1572469,0.1204
1572519,0.1284
1572569,0.1281
1572619,0.1282
1572669,0.1273
1572719,0.1264
1572769,0.1249
1572819,0.1234
1572869,0.1227
1572919,0.1224
1572969,0.1213
1573019,0.122
1573069,0.1218
1573119,0.1215
1573169,0.1222
1573219,0.1209
1573269,0.1205
1573319,0.1193
1573369,0.1194
1573419,0.1186
1573469,0.1187
1573519,0.1181
1573569,0.1175
1573619,0.1173
1573669,0.1172
1573719,0.1175
1573769,0.1177
1573819,0.1178
1573869,0.1199
1573919,0.1203
1573969,0.1199
1574019,0.12
1574069,0.1196
1574119,0.1196
1574169,0.1193
1574219,0.1195
1574269,0.1194
1574319,0.1197
1574369,0.1195
1574419,0.1197
1574469,0.1193
1574519,0.1188
1574569,0.1188
1574619,0.1185
1574669,0.1181
1574719,0.1178
1574769,0.1181
1574819,0.1186
1574869,0.1183
1574919,0.1179
1574969,0.1187
1575019,0.1184
1575069,0.1184
1575119,0.1182
1575169,0.1185
1575219,0.1185
1575269,0.1187
1575319,0.1186
1575369,0.1183
1575419,0.1183
1575469,0.1181
1575519,0.1183
1575569,0.1181
1575619,0.1181
1575669,0.1183
1575719,0.1185
1575769,0.1186
1575819,0.1187
1575869,0.1188
1575919,0.1191
1575969,0.1191
1576019,0.1192
1576069,0.1196
1576119,0.1194
1576169,0.1193
1576219,0.1194
1576269,0.1195
1576319,0.1192
1576369,0.1192
1576419,0.1194
1576469,0.1194
1576519,0.1196
1576569,0.1194
1576619,0.1192
1576669,0.1191
1576719,0.1192
1576769,0.119
1576819,0.1187
1576869,0.1186
1576919,0.1187
1576969,0.1186
1577019,0.1188
1577069,0.1188
1577119,0.1187
1577169,0.1188
1577208,0.2936
1577258,0.1261
1577308,0.1229
1577358,0.115
1577408,0.1145
1577458,0.1153
1577508,0.1139
1577558,0.1133
1577608,0.1122
1577658,0.1117
1577708,0.1122
1577758,0.1133
1577808,0.1123
1577858,0.1115
1577908,0.1115
1577958,0.1119
1578008,0.1112
1578058,0.116
1578108,0.1169
1578158,0.119
1578208,0.1186
1578258,0.1188
1578308,0.1209
1578358,0.1199
1578408,0.1197
1578458,0.119
1578508,0.1189
1578558,0.119
1578608,0.1183
1578658,0.1181
1578708,0.1174
1578758,0.1173
1578808,0.1183
1578858,0.1193
1578908,0.119
1578958,0.1185
1579008,0.1194
1579058,0.1199
1579108,0.1194
1579158,0.1192
1579208,0.1189
1579258,0.1191
1579308,0.1192
1579358,0.119
1579408,0.1196
1579458,0.1201
1579508,0.1208
1579558,0.1205
1579608,0.1212
1579658,0.121
1579708,0.1212
1579758,0.1215
1579808,0.1211
1579858,0.1214
1579908,0.1209
1579958,0.1207
1580008,0.1213
1580058,0.1211
1580108,0.1212
1580158,0.1211
1580208,0.1211
1580258,0.1213
1580308,0.1215
1580358,0.1212
1580408,0.1211
1580458,0.1208
1580508,0.1212
1580558,0.1213
1580608,0.1214
1580658,0.1214
1580708,0.1211
1580758,0.121
1580808,0.1211
1580858,0.1211
1580908,0.1212
1580958,0.1212
1581008,0.1211
1581058,0.1209
1581108,0.1208
1581158,0.1208
1581208,0.1208
1581258,0.1208
1581308,0.1203
1581358,0.1201
1581408,0.12
1581458,0.1199
1581508,0.1198
1581558,0.12
1581608,0.12
1581658,0.1198
1581708,0.1197
1581758,0.1194
1581808,0.1195
1581858,0.1195
1581908,0.1193
1581958,0.1192
1582008,0.1191
1582058,0.119
1582108,0.1188
1582158,0.1189
1582208,0.1187
1582247,0.2266
1582297,0.1225
1582347,0.1259
1582397,0.1177
1582447,0.118
1582497,0.1159
1582547,0.1163
1582597,0.1169
1582647,0.1172
1582697,0.1156
1582747,0.1164
1582797,0.1189
1582847,0.1168
1582897,0.1161
1582947,0.1156
1582997,0.1166
1583047,0.1177
1583097,0.1176
1583147,0.1165
1583197,0.1174
1583247,0.1173
1583297,0.1177
1583347,0.121
1583397,0.1201
1583447,0.1194
1583497,0.1194
1583547,0.1197
1583597,0.1187
1583647,0.1188
1583697,0.1202
1583747,0.1202
1583797,0.1199
1583847,0.1198
1583897,0.1194
1583947,0.1196
1583997,0.12
1584047,0.1202
1584097,0.1198
1584147,0.1193
1584197,0.1194
1584247,0.1194
1584297,0.1194
1584347,0.1193
1584397,0.1191
1584447,0.1193
1584497,0.1193
1584547,0.119
1584597,0.1189
1584647,0.1189
1584697,0.1186
1584747,0.1189
1584797,0.1189
1584847,0.1192
