Step,Value
29696,0.1437
29746,0.1437
29796,0.1435
29846,0.1438
29896,0.1438
29946,0.1443
29996,0.1443
30046,0.1442
30096,0.1446
30146,0.1446
30196,0.1444
30235,0.1478
30285,0.1248
30335,0.1311
30385,0.1273
30435,0.1277
30485,0.1311
30535,0.1336
30585,0.1341
30635,0.1402
30685,0.1407
30735,0.1401
30785,0.1396
30835,0.1396
30885,0.1402
30935,0.1398
30985,0.1402
31035,0.1397
31085,0.1394
31135,0.1398
31185,0.1396
31235,0.1395
31285,0.14
31335,0.1397
31385,0.1435
31435,0.1445
31485,0.1456
31535,0.1461
31585,0.1454
31635,0.1453
31685,0.1457
31735,0.145
31785,0.1443
31835,0.144
31885,0.1435
31935,0.143
31985,0.1431
32035,0.1429
32085,0.1433
32135,0.1438
32185,0.1434
32235,0.143
32285,0.1426
32335,0.1423
32385,0.142
32435,0.1421
32485,0.1419
32535,0.1415
32585,0.1412
32635,0.1415
32685,0.141
32735,0.141
32785,0.1409
32835,0.1411
32885,0.1407
32935,0.1407
32985,0.1407
33035,0.1409
33085,0.1404
33135,0.1403
33185,0.1413
33235,0.1416
33285,0.1415
33335,0.1414
33385,0.1413
33435,0.1411
33485,0.1409
33535,0.141
33585,0.141
33635,0.1409
33685,0.1413
33735,0.1413
33785,0.141
33835,0.1411
33885,0.1412
33935,0.1416
33985,0.1414
34035,0.1412
34085,0.141
34135,0.1408
34185,0.1408
34235,0.1407
34285,0.1405
34335,0.1403
34385,0.1403
34435,0.1402
34485,0.1403
34535,0.1403
34585,0.1401
34635,0.14
34685,0.1398
34735,0.1398
34785,0.1398
34835,0.1397
34885,0.1397
34935,0.1395
34985,0.1394
35035,0.1391
35085,0.1392
35135,0.1391
35185,0.1393
35235,0.1396
35274,0.1163
35324,0.1517
35374,0.1426
35424,0.1396
35474,0.1361
35524,0.1414
35574,0.1415
35624,0.14
35674,0.1424
35724,0.1409
35774,0.1406
35824,0.141
35874,0.1393
35924,0.1402
35974,0.1414
36024,0.1425
36074,0.1427
36124,0.1424
36174,0.1425
36224,0.1431
36274,0.1429
36324,0.1423
36374,0.1411
36424,0.1398
36474,0.1393
36524,0.1398
36574,0.14
36624,0.1396
36674,0.1394
36724,0.1391
36774,0.1388
36824,0.1383
36874,0.1379
36924,0.1376
36974,0.1371
37024,0.1371
37074,0.1366
37124,0.1372
37174,0.1374
37224,0.1373
37274,0.137
37324,0.1367
37374,0.1367
37424,0.1368
37474,0.1369
37524,0.1375
37574,0.1383
37624,0.1384
37674,0.1379
37724,0.1377
37774,0.1375
37824,0.1376
37874,0.1374
37924,0.1372
37974,0.1368
38024,0.1371
38074,0.1371
38124,0.1367
38174,0.1366
38224,0.1364
38274,0.1363
38324,0.1381
38374,0.138
38424,0.1385
38474,0.1384
38524,0.1387
38574,0.1386
38624,0.139
38674,0.1389
38724,0.1387
38774,0.1387
38824,0.1387
38874,0.1385
38924,0.1385
38974,0.1384
39024,0.1384
39074,0.1382
39124,0.1381
39174,0.1382
39224,0.1381
39274,0.1381
39324,0.1382
39374,0.1381
39424,0.138
39474,0.1379
39524,0.138
39574,0.138
39624,0.1379
39674,0.1378
39724,0.1381
39774,0.138
39824,0.1377
39874,0.1376
39924,0.1374
39974,0.1373
40024,0.1372
40074,0.1371
40124,0.137
40174,0.1369
40224,0.1369
40274,0.1367
40313,0.1158
40363,0.1262
40413,0.1322
40463,0.1318
40513,0.1292
40563,0.1318
40613,0.1304
40663,0.1346
40713,0.1344
40763,0.1382
40813,0.1379
40863,0.1373
40913,0.1373
40963,0.1382
41013,0.1383
41063,0.1379
41113,0.1371
41163,0.1356
41213,0.1355
41263,0.1353
41313,0.1346
41363,0.1335
41413,0.1331
41463,0.1334
41513,0.1328
41563,0.1322
41613,0.132
